dispute_id,order_id,reason_code,dispute_date,days_to_dispute,status,true_win_probability,outcome_true,correct_relevant_chunk_id,expected_trajectory,prior_dispute_count_at_time,is_unknown_reason_edge_case,customer_id,amount,item_category,purchase_date,delivery_confirmed,delivery_date,otp_auth_confirmed,shipping_billing_match,prior_complaint_on_file,win_probability,days_left,decision,ev_fight,ev_diff,priority_score
DSP-06526,ORD-07393,item_not_received,2026-05-24,21,pending,0.0443,False,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False,CUST-00196,912.36,groceries,2026-05-03,False,,True,True,False,0.20226282,0,MANUAL_REVIEW,-115.46349462747574,-115.46349462747574,0.4327124832214743
DSP-03434,ORD-08119,not_as_described,2026-04-23,14,pending,0.1674,False,RULE_NOT_AS_DESCRIBED,clean_concede,3,False,CUST-05961,260.71,digital_goods,2026-04-09,False,,True,True,False,0.26070198,6,CONCEDE,-232.03238570779564,-232.03238570779564,0.2864715436241606
DSP-08532,ORD-11533,item_not_received,2026-06-14,3,pending,0.7817,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-00144,1052.18,electronics,2026-06-11,True,2026-06-17,True,True,False,0.82682616,17,FIGHT,569.9699439632893,569.9699439632893,0.09834281879194375
DSP-10926,ORD-09519,unauthorized_transaction,2026-07-09,21,pending,0.2104,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,6,False,CUST-00426,608.14,apparel,2026-06-18,False,,True,True,False,0.10411906,0,CONCEDE,-236.6810333776474,-236.6810333776474,0.4204620134228174
DSP-06211,ORD-05330,item_not_received,2026-05-21,22,pending,0.629,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False,CUST-00434,710.86,home_goods,2026-04-29,True,2026-05-03,True,True,False,0.5851669,0,MANUAL_REVIEW,115.97172230839732,115.97172230839732,0.4245983892617433
DSP-11916,ORD-14501,not_as_described,2026-07-19,15,pending,0.2836,True,RULE_NOT_AS_DESCRIBED,clean_concede,2,False,CUST-04823,700.9,electronics,2026-07-04,False,,True,True,False,0.31412745,5,MANUAL_REVIEW,-79.82807364463807,-79.82807364463807,0.32419731543624003
DSP-00856,ORD-18880,unauthorized_transaction,2026-03-28,11,pending,0.4704,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False,CUST-03027,2296.42,digital_goods,2026-03-17,True,2026-03-26,True,False,False,0.49226713,9,FIGHT,830.4520868206025,830.4520868206025,0.3084464429530142
DSP-03369,ORD-09740,unauthorized_transaction,2026-04-22,4,pending,0.5774,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-02327,261.06,apparel,2026-04-18,True,2026-04-25,True,False,False,0.6413061,16,MANUAL_REVIEW,-132.580628939867,-132.580628939867,0.08648563758389217
DSP-00446,ORD-07369,unauthorized_transaction,2026-03-22,2,pending,0.5089,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False,CUST-04987,4438.74,apparel,2026-03-20,False,,True,True,False,0.4295386,18,FIGHT,1606.610199086666,1606.610199086666,0.21471436241609565
DSP-07619,ORD-04811,item_not_received,2026-06-05,11,pending,0.7023,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-05940,966.35,groceries,2026-05-25,True,2026-05-27,True,True,False,0.68694603,9,FIGHT,363.830300372839,363.830300372839,0.2548865771812057
DSP-10305,ORD-11104,unauthorized_transaction,2026-07-02,4,pending,0.2229,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False,CUST-05088,1038.39,home_goods,2026-06-28,False,,False,True,False,0.16502081,16,MANUAL_REVIEW,-128.6440425811708,-128.6440425811708,0.11778751677852095
DSP-02691,ORD-19113,unauthorized_transaction,2026-04-15,14,pending,0.4761,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,4,False,CUST-00556,522.53,groceries,2026-04-01,True,2026-04-03,True,True,False,0.36558196,6,MANUAL_REVIEW,-108.97245870977642,-108.97245870977642,0.29701463087248203
DSP-02803,ORD-16116,not_as_described,2026-04-16,7,pending,0.2944,True,RULE_NOT_AS_DESCRIBED,clean_concede,1,False,CUST-00328,261.22,digital_goods,2026-04-09,False,,True,True,False,0.36574143,13,CONCEDE,-204.46102320790288,-204.46102320790288,0.1464920805369123
DSP-09734,ORD-16490,not_as_described,2026-06-27,14,pending,0.6177,True,RULE_NOT_AS_DESCRIBED,clean_fight,1,False,CUST-04791,205.53,groceries,2026-06-13,True,2026-06-14,True,True,False,0.5071877,6,CONCEDE,-195.75770706295967,-195.75770706295967,0.28424953020134197
DSP-06321,ORD-12426,unauthorized_transaction,2026-05-22,9,pending,0.4923,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,6,False,CUST-04712,1048.42,groceries,2026-05-13,True,2026-05-18,True,True,False,0.33433846,11,MANUAL_REVIEW,50.52712445080283,50.52712445080283,0.2181914093959706
DSP-06815,ORD-05305,unauthorized_transaction,2026-05-28,10,pending,0.6129,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False,CUST-04127,498.75,groceries,2026-05-18,True,2026-05-21,True,True,False,0.52289116,10,MANUAL_REVIEW,-39.2080320417881,-39.2080320417881,0.21605704697986472
DSP-02426,ORD-00178,duplicate_charge,2026-04-13,6,pending,0.4821,False,RULE_DUPLICATE_CHARGE,clean_concede,0,False,CUST-04158,611.19,groceries,2026-04-07,False,,True,True,False,0.36699545,14,MANUAL_REVIEW,-75.69604857087134,-75.69604857087134,0.14058483221476376
DSP-05755,ORD-05563,item_not_received,2026-05-17,18,pending,0.5018,False,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False,CUST-01117,165.33,electronics,2026-04-29,True,2026-05-04,True,True,False,0.49150452,2,CONCEDE,-218.73955767899753,-218.73955767899753,0.36263073825503345
DSP-00506,ORD-09727,item_not_received,2026-03-23,15,pending,0.6569,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False,CUST-02920,2292.31,home_goods,2026-03-08,True,2026-03-14,True,True,False,0.49260253,5,FIGHT,829.1976989918946,829.1976989918946,0.3882809395973096
DSP-12560,ORD-11243,unauthorized_transaction,2026-07-25,4,pending,0.4388,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False,CUST-04529,303.9,digital_goods,2026-07-21,False,,True,True,False,0.47083995,16,CONCEDE,-156.91173996627333,-156.91173996627333,0.08821073825503299
DSP-00652,ORD-05508,item_not_received,2026-03-25,5,pending,0.4418,False,RULE_ITEM_NOT_RECEIVED,clean_concede,2,False,CUST-01259,465.75,groceries,2026-03-20,True,2026-03-21,True,True,True,0.4472213,15,MANUAL_REVIEW,-91.70667535811663,-91.70667535811663,0.1147281879194621
DSP-00392,ORD-02477,item_not_received,2026-03-21,2,pending,0.5204,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False,CUST-04130,213.73,groceries,2026-03-19,True,2026-03-27,False,True,False,0.5193377,18,CONCEDE,-189.00195044696332,-189.00195044696332,0.044579731543623845
DSP-02839,ORD-07449,duplicate_charge,2026-04-17,16,pending,0.6425,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False,CUST-02452,1187.43,digital_goods,2026-04-01,True,2026-04-08,True,True,True,0.45270962,4,FIGHT,237.56097841322423,237.56097841322423,0.36378912751677567
DSP-14885,ORD-19769,duplicate_charge,2026-08-24,23,pending,0.4438,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False,CUST-05664,851.16,groceries,2026-08-01,True,2026-08-04,True,True,False,0.5718216,0,FIGHT,186.7116478586197,186.7116478586197,0.43024805369127317
DSP-11537,ORD-08721,duplicate_charge,2026-07-15,10,pending,0.6386,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False,CUST-01598,704.06,apparel,2026-07-05,True,2026-07-07,True,True,False,0.65384316,10,FIGHT,160.34481835842126,160.34481835842126,0.22432456375838764
DSP-14761,ORD-16229,item_not_received,2026-08-20,18,pending,0.02,False,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False,CUST-03146,161.77,home_goods,2026-08-02,False,,False,True,False,0.064758375,2,CONCEDE,-289.52403762981294,-289.52403762981294,0.36248738255033547
DSP-07184,ORD-03870,not_as_described,2026-06-01,7,pending,0.3461,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False,CUST-01974,776.31,groceries,2026-05-25,True,2026-05-28,True,False,True,0.28784493,13,MANUAL_REVIEW,-76.54310540467503,-76.54310540467503,0.1672339597315418
DSP-07173,ORD-15251,unauthorized_transaction,2026-05-31,4,pending,0.2528,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False,CUST-02644,203.23,digital_goods,2026-05-27,True,2026-05-30,False,True,False,0.43061486,16,CONCEDE,-212.48614223271608,-212.48614223271608,0.08415691275167755
DSP-10573,ORD-02613,not_as_described,2026-07-05,12,pending,0.4827,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False,CUST-01698,941.07,home_goods,2026-06-23,True,2026-07-02,True,True,False,0.57572305,8,FIGHT,241.79569256901743,241.79569256901743,0.2738685906040246
DSP-02738,ORD-04034,not_as_described,2026-04-16,22,pending,0.5739,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-04530,645.44,digital_goods,2026-03-25,True,2026-03-27,True,True,False,0.6607635,0,MANUAL_REVIEW,126.48319480895998,126.48319480895998,0.4219640268456361
DSP-07543,ORD-08874,item_not_received,2026-06-04,16,pending,0.4604,False,RULE_ITEM_NOT_RECEIVED,clean_concede,1,False,CUST-05144,767.43,groceries,2026-05-19,True,2026-05-20,False,True,False,0.37764475,4,MANUAL_REVIEW,-10.184091429412376,-10.184091429412376,0.34687637583892444
DSP-06129,ORD-05657,unauthorized_transaction,2026-05-21,1,pending,0.2728,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False,CUST-01100,566.56,groceries,2026-05-20,False,,True,False,False,0.27446023,19,MANUAL_REVIEW,-144.50181418895724,-144.50181418895724,0.038787651006710167
