dispute_id,order_id,reason_code,dispute_date,days_to_dispute,status
DSP-00000,ORD-07799,item_not_received,2026-03-08,1,pending
DSP-00001,ORD-11692,not_as_described,2026-03-08,1,pending
DSP-00002,ORD-02229,duplicate_charge,2026-03-08,1,pending
DSP-00003,ORD-18748,duplicate_charge,2026-03-08,1,pending
DSP-00004,ORD-19180,item_not_received,2026-03-08,1,pending
DSP-00005,ORD-10502,unauthorized_transaction,2026-03-08,1,pending
DSP-00006,ORD-16739,not_as_described,2026-03-09,1,pending
DSP-00007,ORD-00952,item_not_received,2026-03-09,2,pending
DSP-00008,ORD-16681,not_as_described,2026-03-09,1,pending
DSP-00009,ORD-19464,not_as_described,2026-03-09,1,pending
DSP-00010,ORD-19662,unauthorized_transaction,2026-03-09,2,pending
DSP-00011,ORD-03763,item_not_received,2026-03-09,1,pending
DSP-00012,ORD-05112,item_not_received,2026-03-09,1,pending
DSP-00013,ORD-04994,unauthorized_transaction,2026-03-09,2,pending
DSP-00014,ORD-08781,duplicate_charge,2026-03-09,1,pending
DSP-00015,ORD-10971,not_as_described,2026-03-09,1,pending
DSP-00016,ORD-14302,item_not_received,2026-03-09,2,pending
DSP-00017,ORD-01233,not_as_described,2026-03-10,2,pending
DSP-00018,ORD-13212,unauthorized_transaction,2026-03-10,2,pending
DSP-00019,ORD-19840,duplicate_charge,2026-03-10,3,pending
DSP-00020,ORD-13235,not_as_described,2026-03-10,2,pending
DSP-00021,ORD-09603,duplicate_charge,2026-03-10,3,pending
DSP-00022,ORD-11253,duplicate_charge,2026-03-10,1,pending
DSP-00023,ORD-17702,item_not_received,2026-03-10,2,pending
DSP-00024,ORD-18828,unauthorized_transaction,2026-03-10,1,pending
DSP-00025,ORD-00993,unauthorized_transaction,2026-03-10,3,pending
DSP-00026,ORD-02577,unauthorized_transaction,2026-03-10,2,pending
DSP-00027,ORD-19825,item_not_received,2026-03-10,1,pending
DSP-00028,ORD-10682,not_as_described,2026-03-10,3,pending
DSP-00029,ORD-07504,not_as_described,2026-03-10,1,pending
DSP-00030,ORD-05850,item_not_received,2026-03-10,2,pending
DSP-00031,ORD-15482,not_as_described,2026-03-10,1,pending
DSP-00032,ORD-11171,item_not_received,2026-03-10,2,pending
DSP-00033,ORD-00644,item_not_received,2026-03-10,1,pending
DSP-00034,ORD-02385,item_not_received,2026-03-10,2,pending
DSP-00035,ORD-19038,not_as_described,2026-03-10,3,pending
DSP-00036,ORD-09558,item_not_received,2026-03-10,3,pending
DSP-00037,ORD-12213,unauthorized_transaction,2026-03-10,1,pending
DSP-00038,ORD-04468,item_not_received,2026-03-11,2,pending
DSP-00039,ORD-09018,not_as_described,2026-03-11,2,pending
DSP-00040,ORD-04215,item_not_received,2026-03-11,2,pending
DSP-00041,ORD-04324,not_as_described,2026-03-11,3,pending
DSP-00042,ORD-05447,unauthorized_transaction,2026-03-11,3,pending
DSP-00043,ORD-14408,unauthorized_transaction,2026-03-11,2,pending
DSP-00044,ORD-04942,item_not_received,2026-03-11,4,pending
DSP-00045,ORD-13720,unauthorized_transaction,2026-03-11,4,pending
DSP-00046,ORD-16743,duplicate_charge,2026-03-11,2,pending
DSP-00047,ORD-19079,unauthorized_transaction,2026-03-11,3,pending
DSP-00048,ORD-07185,unauthorized_transaction,2026-03-11,3,pending
DSP-00049,ORD-10313,item_not_received,2026-03-12,3,pending
DSP-00050,ORD-18600,item_not_received,2026-03-12,4,pending
DSP-00051,ORD-14123,not_as_described,2026-03-12,2,pending
DSP-00052,ORD-15415,not_as_described,2026-03-12,3,pending
DSP-00053,ORD-14369,duplicate_charge,2026-03-12,3,pending
DSP-00054,ORD-04713,unauthorized_transaction,2026-03-12,4,pending
DSP-00055,ORD-11574,not_as_described,2026-03-12,3,pending
DSP-00056,ORD-12344,duplicate_charge,2026-03-12,2,pending
DSP-00057,ORD-12652,item_not_received,2026-03-12,5,pending
DSP-00058,ORD-16478,item_not_received,2026-03-12,1,pending
DSP-00059,ORD-00498,item_not_received,2026-03-12,5,pending
DSP-00060,ORD-00948,item_not_received,2026-03-12,3,pending
DSP-00061,ORD-16209,duplicate_charge,2026-03-12,2,pending
DSP-00062,ORD-03437,item_not_received,2026-03-12,3,pending
DSP-00063,ORD-19269,not_as_described,2026-03-13,4,pending
DSP-00064,ORD-16587,not_as_described,2026-03-13,4,pending
DSP-00065,ORD-11130,unauthorized_transaction,2026-03-13,6,pending
