dispute_id,true_win_probability,outcome_true,correct_relevant_chunk_id,expected_trajectory,prior_dispute_count_at_time,is_unknown_reason_edge_case
DSP-00000,0.6071,True,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False
DSP-00001,0.555,True,RULE_NOT_AS_DESCRIBED,clean_fight,5,False
DSP-00002,0.6689,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00003,0.7419,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00004,0.628,True,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False
DSP-00005,0.7222,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00006,0.3411,True,RULE_NOT_AS_DESCRIBED,clean_concede,2,False
DSP-00007,0.6597,False,RULE_ITEM_NOT_RECEIVED,clean_fight,5,False
DSP-00008,0.1471,True,RULE_NOT_AS_DESCRIBED,clean_concede,4,False
DSP-00009,0.479,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00010,0.209,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False
DSP-00011,0.7072,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00012,0.6207,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00013,0.4381,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False
DSP-00014,0.574,True,RULE_DUPLICATE_CHARGE,clean_fight,2,False
DSP-00015,0.2074,True,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00016,0.6178,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00017,0.6072,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00018,0.7422,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00019,0.3448,True,RULE_DUPLICATE_CHARGE,clean_concede,2,False
DSP-00020,0.4552,True,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00021,0.2736,False,RULE_DUPLICATE_CHARGE,clean_concede,4,False
DSP-00022,0.2807,False,RULE_DUPLICATE_CHARGE,clean_concede,0,False
DSP-00023,0.0525,False,RULE_ITEM_NOT_RECEIVED,retry_needed,7,False
DSP-00024,0.221,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False
DSP-00025,0.8786,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00026,0.282,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False
DSP-00027,0.6649,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00028,0.3109,True,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00029,0.3889,False,RULE_NOT_AS_DESCRIBED,clean_concede,4,False
DSP-00030,0.546,True,RULE_ITEM_NOT_RECEIVED,clean_fight,6,False
DSP-00031,0.7218,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00032,0.4923,True,RULE_ITEM_NOT_RECEIVED,clean_concede,6,False
DSP-00033,0.4641,False,RULE_ITEM_NOT_RECEIVED,clean_concede,4,False
DSP-00034,0.6354,True,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False
DSP-00035,0.7492,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00036,0.0837,False,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False
DSP-00037,0.5004,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,4,False
DSP-00038,0.1818,True,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False
DSP-00039,0.4904,False,RULE_NOT_AS_DESCRIBED,clean_concede,4,False
DSP-00040,0.6758,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00041,0.5167,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00042,0.7441,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00043,0.7414,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00044,0.6641,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00045,0.512,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00046,0.5953,False,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00047,0.2988,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,4,False
DSP-00048,0.8267,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00049,0.6084,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00050,0.2951,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00051,0.4312,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00052,0.5472,True,RULE_NOT_AS_DESCRIBED,clean_fight,3,False
DSP-00053,0.3255,False,RULE_DUPLICATE_CHARGE,clean_concede,0,False
DSP-00054,0.5721,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00055,0.5288,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00056,0.6203,True,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00057,0.6827,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False
DSP-00058,0.6653,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00059,0.72,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00060,0.5223,False,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False
DSP-00061,0.5595,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00062,0.4883,True,RULE_ITEM_NOT_RECEIVED,clean_concede,1,False
DSP-00063,0.5601,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00064,0.6501,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00065,0.3786,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False
