dispute_id,order_id,reason_code,amount,item_category,delivery_confirmed,otp_auth_confirmed,shipping_billing_match,prior_complaint_on_file,days_to_dispute
DSP-100000,ORD-100000,not_as_described,604.39,digital_goods,True,True,True,False,18
DSP-100001,ORD-100001,item_not_received,965.29,groceries,True,True,True,False,5
DSP-100002,ORD-100002,unauthorized_transaction,1190.91,home_goods,False,True,True,False,20
DSP-100003,ORD-100003,item_not_received,378.85,home_goods,False,True,True,False,3
DSP-100004,ORD-100004,duplicate_charge,186.41,apparel,True,True,True,False,23
DSP-100005,ORD-100005,not_as_described,343.98,home_goods,True,True,True,False,15
DSP-100006,ORD-100006,unauthorized_transaction,190.67,groceries,True,True,True,False,24
DSP-100007,ORD-100007,unauthorized_transaction,100.0,apparel,False,True,True,False,20
DSP-100008,ORD-100008,not_as_described,365.88,apparel,True,False,True,False,14
DSP-100009,ORD-100009,unauthorized_transaction,378.41,home_goods,True,True,True,False,9
DSP-100010,ORD-100010,item_not_received,271.85,digital_goods,True,True,True,False,21
DSP-100011,ORD-100011,item_not_received,263.46,digital_goods,True,True,True,False,5
DSP-100012,ORD-100012,item_not_received,751.21,electronics,True,True,True,False,14
DSP-100013,ORD-100013,unauthorized_transaction,253.4,home_goods,True,True,True,False,4
DSP-100014,ORD-100014,not_as_described,245.87,digital_goods,True,True,True,False,17
DSP-100015,ORD-100015,unauthorized_transaction,626.72,apparel,True,True,True,False,12
DSP-100016,ORD-100016,unauthorized_transaction,162.94,home_goods,True,True,True,False,8
DSP-100017,ORD-100017,unauthorized_transaction,533.11,digital_goods,True,True,True,False,16
DSP-100018,ORD-100018,item_not_received,445.98,apparel,True,False,True,False,15
DSP-100019,ORD-100019,unauthorized_transaction,424.27,electronics,True,False,False,True,10
DSP-100020,ORD-100020,unauthorized_transaction,700.6,electronics,True,True,False,False,22
DSP-100021,ORD-100021,item_not_received,492.97,apparel,True,True,True,False,13
DSP-100022,ORD-100022,duplicate_charge,993.43,groceries,True,True,True,False,3
DSP-100023,ORD-100023,item_not_received,573.4,home_goods,True,False,True,False,5
DSP-100024,ORD-100024,unauthorized_transaction,755.8,home_goods,False,True,True,True,5
DSP-100025,ORD-100025,item_not_received,415.44,electronics,True,True,True,False,9
DSP-100026,ORD-100026,item_not_received,739.4,groceries,True,True,True,True,13
DSP-100027,ORD-100027,unauthorized_transaction,216.96,apparel,True,True,True,False,16
DSP-100028,ORD-100028,unauthorized_transaction,474.71,digital_goods,False,True,True,True,20
DSP-100029,ORD-100029,item_not_received,153.85,electronics,True,True,True,True,11
DSP-100030,ORD-100030,item_not_received,496.69,home_goods,False,True,True,False,17
DSP-100031,ORD-100031,unauthorized_transaction,1968.91,groceries,True,True,True,False,18
DSP-100032,ORD-100032,not_as_described,309.81,digital_goods,True,True,True,False,23
