order_id,customer_id,amount,item_category,purchase_date,delivery_confirmed,delivery_date,otp_auth_confirmed,shipping_billing_match,prior_complaint_on_file
ORD-00000,CUST-05238,406.48,apparel,2026-07-07,True,2026-07-11,True,True,False
ORD-00001,CUST-00912,587.64,digital_goods,2026-08-04,False,,True,True,False
ORD-00002,CUST-00204,233.56,home_goods,2026-05-16,True,2026-05-21,True,True,False
ORD-00003,CUST-02253,1759.31,apparel,2026-04-06,True,2026-04-14,True,True,False
ORD-00004,CUST-02006,505.18,apparel,2026-07-11,True,2026-07-16,True,True,False
ORD-00005,CUST-01828,228.45,electronics,2026-06-18,False,,True,True,True
ORD-00006,CUST-01143,872.15,apparel,2026-06-05,True,2026-06-12,True,True,False
ORD-00007,CUST-00839,434.45,apparel,2026-03-16,True,2026-03-25,True,True,False
ORD-00008,CUST-05543,746.1,digital_goods,2026-03-24,True,2026-03-28,False,True,False
ORD-00009,CUST-04467,4244.62,apparel,2026-05-25,True,2026-05-27,True,True,False
ORD-00010,CUST-00712,379.36,apparel,2026-05-21,True,2026-05-22,True,False,False
ORD-00011,CUST-04837,317.41,apparel,2026-06-11,True,2026-06-20,True,True,True
ORD-00012,CUST-03456,1703.9,groceries,2026-03-25,False,,False,True,False
ORD-00013,CUST-00260,577.95,apparel,2026-06-16,True,2026-06-25,True,True,False
ORD-00014,CUST-00244,645.34,apparel,2026-05-20,True,2026-05-24,False,True,False
ORD-00015,CUST-00767,2138.79,electronics,2026-05-21,True,2026-05-28,False,True,False
ORD-00016,CUST-01791,763.04,apparel,2026-05-17,False,,True,True,False
ORD-00017,CUST-01905,1272.6,electronics,2026-06-21,True,2026-06-24,True,True,False
ORD-00018,CUST-04139,1453.59,electronics,2026-05-22,True,2026-05-31,True,True,False
ORD-00019,CUST-04931,798.97,groceries,2026-04-07,False,,True,True,False
ORD-00020,CUST-00217,798.32,apparel,2026-03-30,True,2026-03-31,True,True,False
ORD-00021,CUST-04597,100.0,digital_goods,2026-05-14,False,,True,True,False
ORD-00022,CUST-01628,449.21,groceries,2026-03-30,True,2026-03-31,True,True,False
ORD-00023,CUST-05865,1498.18,digital_goods,2026-06-03,False,,True,False,False
ORD-00024,CUST-05323,2975.48,groceries,2026-08-04,True,2026-08-10,False,True,False
ORD-00025,CUST-05745,2158.47,apparel,2026-06-12,True,2026-06-16,True,False,False
ORD-00026,CUST-04464,3195.76,groceries,2026-07-14,True,2026-07-19,True,True,False
ORD-00027,CUST-03436,1649.14,electronics,2026-03-20,True,2026-03-28,True,True,False
ORD-00028,CUST-01805,455.05,groceries,2026-07-05,False,,True,True,False
ORD-00029,CUST-03679,633.35,groceries,2026-07-29,True,2026-08-03,True,True,False
ORD-00030,CUST-04827,326.1,home_goods,2026-06-29,False,,True,True,False
