dispute_id,order_id,reason_code,dispute_date,days_to_dispute,status,true_win_probability,outcome_true,correct_relevant_chunk_id,expected_trajectory,prior_dispute_count_at_time,is_unknown_reason_edge_case,customer_id,amount,item_category,purchase_date,delivery_confirmed,delivery_date,otp_auth_confirmed,shipping_billing_match,prior_complaint_on_file
DSP-03952,ORD-19816,unauthorized_transaction,2026-04-28,19,pending,0.6372,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False,CUST-01674,699.62,apparel,2026-04-09,True,2026-04-12,True,True,False
DSP-10070,ORD-07630,not_as_described,2026-06-30,6,pending,0.569,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False,CUST-01502,703.6,digital_goods,2026-06-24,True,2026-06-29,True,True,False
DSP-07878,ORD-16176,item_not_received,2026-06-07,15,pending,0.753,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-03228,588.66,electronics,2026-05-23,True,2026-05-30,True,True,False
DSP-03193,ORD-06202,item_not_received,2026-04-20,3,pending,0.5002,True,RULE_ITEM_NOT_RECEIVED,clean_fight,4,False,CUST-05022,435.64,electronics,2026-04-17,True,2026-04-18,True,True,False
DSP-09395,ORD-03943,item_not_received,2026-06-23,14,pending,0.5764,False,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False,CUST-02533,1348.27,digital_goods,2026-06-09,True,2026-06-15,True,True,False
DSP-03162,ORD-01194,item_not_received,2026-04-20,2,pending,0.4878,False,RULE_ITEM_NOT_RECEIVED,clean_concede,0,False,CUST-01545,690.32,apparel,2026-04-18,True,2026-04-27,False,False,False
DSP-12793,ORD-19045,not_as_described,2026-07-27,5,pending,0.411,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False,CUST-00556,338.46,apparel,2026-07-22,True,2026-07-27,True,True,True
DSP-09968,ORD-10427,item_not_received,2026-06-29,8,pending,0.5061,False,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False,CUST-01220,618.19,home_goods,2026-06-21,True,2026-06-30,True,True,False
DSP-01286,ORD-05866,item_not_received,2026-04-01,9,pending,0.5735,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-00889,1922.49,apparel,2026-03-23,True,2026-03-29,False,True,False
DSP-06231,ORD-02416,duplicate_charge,2026-05-22,11,pending,0.3714,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False,CUST-02030,1695.17,electronics,2026-05-11,False,,True,True,False
DSP-01323,ORD-12406,duplicate_charge,2026-04-02,13,pending,0.1466,False,RULE_DUPLICATE_CHARGE,clean_concede,3,False,CUST-02349,1135.61,electronics,2026-03-20,False,,True,True,False
DSP-09761,ORD-10889,item_not_received,2026-06-27,17,pending,0.4296,True,RULE_ITEM_NOT_RECEIVED,clean_concede,3,False,CUST-03570,319.4,groceries,2026-06-10,True,2026-06-12,True,True,False
DSP-14027,ORD-02651,item_not_received,2026-08-09,23,pending,0.0333,False,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False,CUST-05043,509.08,home_goods,2026-07-17,False,,False,True,False
DSP-12939,ORD-01784,item_not_received,2026-07-29,15,pending,0.5557,False,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False,CUST-02876,200.79,electronics,2026-07-14,True,2026-07-21,True,True,False
DSP-11105,ORD-05244,unauthorized_transaction,2026-07-11,4,pending,0.8336,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-04827,1621.4,groceries,2026-07-07,True,2026-07-13,True,True,False
DSP-01851,ORD-02495,not_as_described,2026-04-07,1,pending,0.747,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-04170,180.65,digital_goods,2026-04-06,True,2026-04-09,True,True,False
DSP-00775,ORD-02006,duplicate_charge,2026-03-27,12,pending,0.4748,True,RULE_DUPLICATE_CHARGE,clean_concede,0,False,CUST-00751,2490.18,home_goods,2026-03-15,False,,True,True,True
DSP-02027,ORD-11518,item_not_received,2026-04-08,21,pending,0.6804,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-05168,791.34,electronics,2026-03-18,True,2026-03-23,True,True,False
DSP-03186,ORD-18883,unauthorized_transaction,2026-04-20,9,pending,0.6595,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False,CUST-00517,100.0,apparel,2026-04-11,True,2026-04-12,True,True,False
DSP-05442,ORD-17235,duplicate_charge,2026-05-13,9,pending,0.1854,False,RULE_DUPLICATE_CHARGE,clean_concede,3,False,CUST-02091,782.63,groceries,2026-05-04,True,2026-05-07,False,True,False
DSP-07661,ORD-06525,item_not_received,2026-06-05,1,pending,0.1771,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False,CUST-02556,669.71,groceries,2026-06-04,False,,True,True,False
DSP-02986,ORD-18630,unauthorized_transaction,2026-04-18,14,pending,0.6894,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False,CUST-02307,244.36,groceries,2026-04-04,True,2026-04-05,True,True,False
DSP-09759,ORD-11741,not_as_described,2026-06-27,22,pending,0.1614,True,RULE_NOT_AS_DESCRIBED,clean_concede,0,False,CUST-04737,3163.25,groceries,2026-06-05,False,,True,True,True
DSP-04917,ORD-06900,unauthorized_transaction,2026-05-08,10,pending,0.0228,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,4,False,CUST-02649,1203.34,groceries,2026-04-28,True,2026-05-04,False,True,False
DSP-03237,ORD-18306,not_as_described,2026-04-21,23,pending,0.5075,True,RULE_NOT_AS_DESCRIBED,clean_fight,3,False,CUST-00464,299.07,apparel,2026-03-29,False,,True,True,False
DSP-10059,ORD-13895,not_as_described,2026-06-30,15,pending,0.5179,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-02677,1211.96,apparel,2026-06-15,True,2026-06-17,True,True,False
DSP-09431,ORD-10577,unauthorized_transaction,2026-06-23,9,pending,0.5579,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,4,False,CUST-04403,1372.37,apparel,2026-06-14,True,2026-06-19,True,True,False
DSP-06675,ORD-10568,unauthorized_transaction,2026-05-26,17,pending,0.5508,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,3,False,CUST-00687,984.05,apparel,2026-05-09,True,2026-05-10,True,True,False
DSP-06425,ORD-11649,unauthorized_transaction,2026-05-23,20,pending,0.7245,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-03550,426.34,digital_goods,2026-05-03,True,2026-05-05,True,True,False
DSP-08662,ORD-15563,unauthorized_transaction,2026-06-15,8,pending,0.0214,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,4,False,CUST-00816,536.07,home_goods,2026-06-07,True,2026-06-16,False,True,False
DSP-12453,ORD-06909,not_as_described,2026-07-24,7,pending,0.3644,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False,CUST-02853,933.4,apparel,2026-07-17,False,,True,True,False
DSP-09080,ORD-18962,not_as_described,2026-06-20,22,pending,0.2711,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False,CUST-00986,951.41,electronics,2026-05-29,False,,True,True,False
DSP-08333,ORD-08306,unauthorized_transaction,2026-06-12,2,pending,0.7783,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-00037,557.83,apparel,2026-06-10,True,2026-06-19,True,True,False
DSP-08922,ORD-07463,not_as_described,2026-06-18,1,pending,0.5947,True,RULE_NOT_AS_DESCRIBED,clean_fight,2,False,CUST-01223,831.9,apparel,2026-06-17,True,2026-06-26,True,True,False
DSP-14497,ORD-06848,item_not_received,2026-08-15,18,pending,0.6421,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-01225,3981.63,groceries,2026-07-28,True,2026-08-02,False,True,False
DSP-11126,ORD-16264,item_not_received,2026-07-11,20,pending,0.1362,False,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False,CUST-00094,378.48,electronics,2026-06-21,False,,True,True,False
DSP-04449,ORD-05912,item_not_received,2026-05-03,1,pending,0.0859,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False,CUST-03908,495.29,groceries,2026-05-02,False,,False,True,False
DSP-07818,ORD-17174,not_as_described,2026-06-07,16,pending,0.4744,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False,CUST-00826,134.27,home_goods,2026-05-22,True,2026-05-29,True,True,False
DSP-00035,ORD-19038,not_as_described,2026-03-10,3,pending,0.7492,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-00457,996.45,electronics,2026-03-07,True,2026-03-12,True,True,False
DSP-01770,ORD-19915,item_not_received,2026-04-06,6,pending,0.5773,True,RULE_ITEM_NOT_RECEIVED,clean_fight,4,False,CUST-02896,792.92,home_goods,2026-03-31,True,2026-04-07,True,True,False
DSP-08875,ORD-12139,unauthorized_transaction,2026-06-17,19,pending,0.7812,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-00278,2911.49,apparel,2026-05-29,True,2026-06-06,True,True,False
DSP-13830,ORD-01426,duplicate_charge,2026-08-07,17,pending,0.5148,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False,CUST-02493,252.81,electronics,2026-07-21,True,2026-07-29,True,True,False
DSP-10609,ORD-12521,not_as_described,2026-07-06,4,pending,0.5995,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-03529,485.28,groceries,2026-07-02,True,2026-07-03,True,True,False
DSP-09967,ORD-16730,item_not_received,2026-06-29,15,pending,0.7155,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-04976,831.21,groceries,2026-06-14,True,2026-06-20,True,True,False
DSP-10859,ORD-09146,duplicate_charge,2026-07-08,14,pending,0.6763,True,RULE_DUPLICATE_CHARGE,clean_fight,1,False,CUST-04078,2920.79,home_goods,2026-06-24,True,2026-07-03,True,True,False
DSP-06027,ORD-18889,unauthorized_transaction,2026-05-20,7,pending,0.6642,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False,CUST-01715,1692.64,electronics,2026-05-13,True,2026-05-17,True,True,False
DSP-12945,ORD-13608,item_not_received,2026-07-29,10,pending,0.6449,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-01978,203.96,groceries,2026-07-19,True,2026-07-21,True,True,False
DSP-00782,ORD-00171,not_as_described,2026-03-27,7,pending,0.4124,True,RULE_NOT_AS_DESCRIBED,clean_concede,1,False,CUST-04100,1260.06,apparel,2026-03-20,False,,True,True,False
DSP-06918,ORD-15015,not_as_described,2026-05-29,3,pending,0.4096,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False,CUST-03607,866.81,home_goods,2026-05-26,True,2026-05-31,False,False,False
DSP-04039,ORD-05689,unauthorized_transaction,2026-04-29,6,pending,0.3071,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False,CUST-01742,3840.0,digital_goods,2026-04-23,True,2026-04-24,False,True,False
DSP-06672,ORD-16071,unauthorized_transaction,2026-05-26,4,pending,0.5684,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False,CUST-03095,1117.53,groceries,2026-05-22,True,2026-05-28,True,False,False
DSP-08848,ORD-04180,duplicate_charge,2026-06-17,12,pending,0.4072,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False,CUST-00528,103.2,groceries,2026-06-05,True,2026-06-14,False,True,False
DSP-05398,ORD-01474,duplicate_charge,2026-05-13,24,pending,0.6629,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False,CUST-05238,639.33,home_goods,2026-04-19,True,2026-04-20,True,True,False
DSP-04074,ORD-05977,unauthorized_transaction,2026-04-29,19,pending,0.02,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False,CUST-03281,2536.01,apparel,2026-04-10,False,,False,True,False
DSP-05069,ORD-06481,unauthorized_transaction,2026-05-09,9,pending,0.583,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False,CUST-01907,529.53,apparel,2026-04-30,True,2026-05-05,True,True,False
DSP-06622,ORD-03811,unauthorized_transaction,2026-05-26,9,pending,0.6395,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False,CUST-05547,424.5,electronics,2026-05-17,True,2026-05-24,True,True,False
DSP-06171,ORD-10848,unauthorized_transaction,2026-05-21,12,pending,0.0925,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False,CUST-03802,4128.34,apparel,2026-05-09,False,,False,True,False
DSP-01694,ORD-16134,item_not_received,2026-04-05,19,pending,0.0443,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False,CUST-01625,422.04,digital_goods,2026-03-17,False,,True,True,False
DSP-00838,ORD-01849,not_as_described,2026-03-27,8,pending,0.2281,False,RULE_NOT_AS_DESCRIBED,clean_concede,4,False,CUST-04956,1057.26,groceries,2026-03-19,False,,True,True,False
DSP-02759,ORD-18840,duplicate_charge,2026-04-16,15,pending,0.3625,False,RULE_DUPLICATE_CHARGE,clean_concede,2,False,CUST-01309,1836.44,home_goods,2026-04-01,True,2026-04-02,True,True,True
DSP-05670,ORD-03726,item_not_received,2026-05-16,17,pending,0.1816,False,RULE_ITEM_NOT_RECEIVED,retry_needed,2,False,CUST-04052,197.37,apparel,2026-04-29,False,,True,True,False
DSP-04813,ORD-14183,not_as_described,2026-05-07,6,pending,0.3576,False,RULE_NOT_AS_DESCRIBED,clean_concede,4,False,CUST-04000,465.62,apparel,2026-05-01,True,2026-05-05,True,False,False
DSP-02747,ORD-06491,not_as_described,2026-04-16,9,pending,0.6773,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-03042,322.1,electronics,2026-04-07,True,2026-04-15,True,True,False
DSP-12704,ORD-03935,unauthorized_transaction,2026-07-27,9,pending,0.4239,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False,CUST-02002,755.12,apparel,2026-07-18,False,,True,True,True
